Nomor Identitias,Nama Stasiun,Merek Mesin,Jenis Pengisian,Status Instalasi,Harga Pengisian (Rp),Harga Layanan (Rp),Daya,Jumlah Nozzle,Arus Maksimal,Peralatan Catu Daya Listrik,Sistem Kontrol Arus Mesin,Sistem Kontrol Tegangan Mesin,Sistem Kontrol Komunikasi Mesin,Sistem Keamanan Mesin,GPS,Panjang Mesin (Cm),Lebar Mesin (Cm),Tinggi Mesin (Cm),Berat Mesin (Kg),Panjang Nozzle (Cm),Lebar Nozzle (Cm),Tinggi Nozzle (Cm),Diameter Nozzle (Cm)
01.POSO.00.5315.007,Parkir Polres Manggarai Barat,Delta,Medium Charging,Beroperasi,2466.78,0,7,1,32,Ada,Ada,Ada,Ada,Ada,Ada,32,14,36,4,100,100,100,100
01.POSO.00.9271.002,SPKLU PLN UP3 SORONG,Proteksindo DC EVDX-60,Ultra Fast Charging,Beroperasi,2466.78,0,60000,3,125,ada,ada,ada,ada,ada,ada,750,525,1830,228,400,17,18,17
06.ROSO.00.3174.127,TIS Square 22 kW (2),WEEYU/ INJET,Medium Charging,Beroperasi,2460,0,23000,1,32,AC,ADA,ADA,OCPP 1.6,Ada,Tidak Ada,50,35,27,15,20.5,5.05,5.8,5.8
01.POSO.00.9106.001,SPKLU PLN ULP BIAK KOTA,AC Mini Plus,Medium Charging,Beroperasi,2466.78,0,7000,1,32,ada,ada,ada,ada,ada,ada,318,130,363,3.7,400,17,18,17
01.POSO.00.9102.001,SPKLU PLN UP3 WAMENA,AC Mini Plus,Medium Charging,Beroperasi,2466.78,0,7000,1,32,ada,ada,ada,ada,ada,ada,318,130,363,3.7,400,17,18,17
01.POSO.00.9202.001,SPKLU PLN UP3 MANOKWARI,1. AC Mini Plus,Medium Charging,Beroperasi,2466.78,0,7000,1,32,ada,ada,ada,ada,ada,ada,318,130,363,3.7,400,17,18,17
01.POSO.00.9202.002,SPKLU PLN UP3 MANOKWARI,2. AC Mini Plus,Medium Charging,Beroperasi,2466.78,0,7000,1,32,ada,ada,ada,ada,ada,ada,318,130,363,3.7,400,17,18,17
01.POSO.00.5108.004,SPKLU UNDIKSHA,1. Delta AC Max,Medium Charging,Beroperasi,2466.78,0,22000,1,100,Ada,Ada,Ada,Ada,Ada,Ada,68,45,180,420,400,17,18,17
01.POSO.00.5108.005,SPKLU UNDIKSHA,2. Delta AC Max,Medium Charging,Beroperasi,2466.78,0,22000,1,100,Ada,Ada,Ada,Ada,Ada,Ada,68,45,180,420,400,17,18,17
01.POSO.00.5105.001,SPKLU PLN UP3 BALI TIMUR,AC Mini Plus,Medium Charging,Beroperasi,2466.78,0,22000,1,100,Ada,Ada,Ada,Ada,Ada,Ada,68,45,180,420,400,17,18,17
01.POSO.00.5171.018,SPKLU DUNKIN DONUTS TEUKU UMAR,1. Autel MaxiCharger AC Wallbox,Medium Charging,Beroperasi,2466.78,0,22000,1,100,Ada,Ada,Ada,Ada,Ada,Ada,68,45,180,420,400,17,18,17
01.POSO.00.5171.019,SPKLU DUNKIN DONUTS TEUKU UMAR,2. Autel MaxiCharger AC Wallbox,Medium Charging,Beroperasi,2466.79,0,22000,1,100,Ada,Ada,Ada,Ada,Ada,Ada,68,45,180,420,400,17,18,17
01.POSO.00.5103.035,SPKLU PLN ULP KUTA,1. Delta AC Max,Medium Charging,Beroperasi,2466.8,0,22000,1,100,Ada,Ada,Ada,Ada,Ada,Ada,68,45,180,420,400,17,18,17
01.POSO.00.5103.036,SPKLU PLN ULP KUTA,2. Delta AC Max,Medium Charging,Beroperasi,2466.81,0,22000,1,100,Ada,Ada,Ada,Ada,Ada,Ada,68,45,180,420,400,17,18,17
01.POSO.00.5107.003,SPKLU YEH MALET,AC Mini Plus,Medium Charging,Beroperasi,2466.82,0,22000,1,100,Ada,Ada,Ada,Ada,Ada,Ada,68,45,180,420,400,17,18,17
01.POSO.00.1671.002,SPKLU PLN UIW S2JB Rivai,PHIHONG DC Wall Mount,Fast Charging,Beroperasi,2466.78,0,30000,2,78,ada,ada,ada,ada,ada,ada,68,85,180,30,400,17,18,17
01.POSO.00.1571.001,SPKLU PLN UP3 JAMBI,Proteksindo DC EVDX-60,Ultra Fast Charging,Beroperasi,2466.78,0,60000,3,160,ada,ada,ada,ada,ada,ada,68,85,180,30,400,17,18,17
01.POSO.00.1673.001,SPKLU PLN ULP LUBUK LINGGAU,Proteksindo DC EVDX-60,Ultra Fast Charging,Beroperasi,2466.78,0,60000,3,160,ada,ada,ada,ada,ada,ada,68,85,180,30,400,17,18,17
01.POSO.00.1602.001,Rest Area KM 269 Terpeka,Delta AC Max,Medium Charging,Beroperasi,2466.78,0,22000,1,32,ada,ada,ada,ada,ada,ada,68,85,180,30,400,17,18,17
01.POSO.00.1602.002,Rest Area KM 269 Terpeka,Proteksindo DC EVDX-60,Ultra Fast Charging,Beroperasi,2466.78,0,60000,3,160,ada,ada,ada,ada,ada,ada,68,85,180,30,400,17,18,17
01.POSO.00.1602.003,Rest Area KM 277 Terpeka,Delta AC Max,Medium Charging,Beroperasi,2466.78,0,22000,1,32,ada,ada,ada,ada,ada,ada,68,85,180,30,400,17,18,17
01.POSO.00.1305.001,SPKLU PLN BANDARA MINANG KABAU,Delta,Medium Charging,Beroperasi,2466.78,0,23000,1,30,Ada,Ada,Ada,Ada,Ada,Ada,60,80,180,40,400,17,18,17
01.POSO.00.5371.002,SPKLU PLN UP3 KUPANG,Delta,Medium Charging,Beroperasi,2466.78,0,7,1,32,Ada,Ada,Ada,Ada,Ada,Ada,32,14,36,4,100,100,100,100
01.POSO.00.5302.001,SPKLU PLN ULP SOE,Delta,Medium Charging,Beroperasi,2466.78,0,7,1,32,Ada,Ada,Ada,Ada,Ada,Ada,32,14,36,4,100,100,100,100
01.POSO.00.5312.001,SPKLU PLN ULP SUMBA BARAT,Delta,Medium Charging,Beroperasi,2466.78,0,7,1,32,Ada,Ada,Ada,Ada,Ada,Ada,32,14,36,4,100,100,100,100
01.POSO.00.5318.001,SPKLU PLN ULP SUMBA JAYA,Delta,Medium Charging,Beroperasi,2466.78,0,7,1,32,Ada,Ada,Ada,Ada,Ada,Ada,32,14,36,4,100,100,100,100
01.POSO.00.5307.001,SPKLU PLN ULP MAUMERE,Delta,Medium Charging,Beroperasi,2466.78,0,7,1,32,Ada,Ada,Ada,Ada,Ada,Ada,32,14,36,4,100,100,100,100
01.POSO.00.5308.001,SPKLU PLN ULP ENDE,Delta,Medium Charging,Beroperasi,2466.78,0,7,1,32,Ada,Ada,Ada,Ada,Ada,Ada,32,14,36,4,100,100,100,100
01.POSO.00.1376.001,SPKLU PLN UP3 PAYAKUMBUH,Delta,Fast Charging,Beroperasi,2466.78,0,41500,2,150,Ada,Ada,Ada,Ada,Ada,Ada,100,100,100,450,100,17,18,17
01.POSO.00.1371.001,SPKLU PLN ULP BELANTI,Phihong,Medium Charging,Beroperasi,2466.78,0,23000,1,30,Ada,Ada,Ada,Ada,Ada,Ada,60,80,180,40,400,17,18,17
01.POSO.00.6474.002,SPKLU PLN UP3 Bontang,Proteksindo,Ultra Fast Charging,Beroperasi,2466.78,0,60000,3,140,Ada,Ada,Ada,Ada,Ada,Ada,750,923,1885,550,400,15,80,15
01.POSO.00.6409.008,SPKLU PLN UP3 NUSANTARA 2,Delta,Slow Charging,Beroperasi,2466.78,0,7400,1,32,Ada,Ada,Ada,Ada,Ada,Ada,318,363,136,4,500,15,80,15
01.POSO.00.3572.001,SPKLU PLN ULP BLITAR,CS DC Charger,Fast Charging,Beroperasi,2466.78,0,50000,2,131.5789474,Ada,Ada,Ada,Ada,Ada,Ada,56.5,78,190,325,39,4,15,4
01.POSO.00.3572.002,SPKLU PLN ULP BLITAR,Zerova 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3514.017,SPKLU PLN ULP PANDAAN,CS DC Charger,Medium Charging,Beroperasi,2466.78,0,25000,1,65.78947368,Ada,Ada,Ada,Ada,Ada,Ada,68,23,43,43,45,2,15,2
06.ROSO.00.3174.128,Multivision Tower 7 kW,WEEYU/ INJET,Medium Charging,Beroperasi,2460,0,7700,1,32,AC,ADA,ADA,OCPP 1.6,Ada,Tidak Ada,50,35,27,10,20.5,5.05,5.8,5.8
06.ROSO.00.3173.057,Mal Taman Palem 22 kW (2),WEEYU/ INJET,Medium Charging,Beroperasi,2460,0,23000,1,32,AC,ADA,ADA,OCPP 1.6,Ada,Tidak Ada,50,35,27,15,20.5,5.05,5.8,5.8
01.POSO.00.3215.007,SPKLU REST AREA KM 42 B RUAS JAKARTA - CIKAMPEK,PHIHONG,Fast Charging,Beroperasi,2466.78,0,30000,2,60,Ada,Ada,Ada,Ada,Ada,Ada,61,23,69,80,4,4,15,4
01.POSO.00.3215.008,SPKLU REST AREA KM 42 B RUAS JAKARTA - CIKAMPEK,PROTEKSINDO,Ultra Fast Charging,Beroperasi,2466.78,0,82000,3,150,Ada,Ada,Ada,Ada,Ada,Ada,92.3,75,188.5,200,5,4,15,4
01.POSO.00.3215.009,SPKLU REST AREA KM 57 A RUAS JAKARTA - CIKAMPEK,DELTA,Fast Charging,Beroperasi,2466.78,0,25000,1,40,Ada,Ada,Ada,Ada,Ada,Ada,68,23,43,43,45,2,15,2
01.POSO.00.3215.010,SPKLU REST AREA KM 57 A RUAS JAKARTA - CIKAMPEK,ABB,Fast Charging,Beroperasi,2466.78,0,50000,2,125,Ada,Ada,Ada,Ada,Ada,Ada,56.5,78,190,325,39,4,15,4
01.POSO.00.3215.011,SPKLU REST AREA KM 62 B RUAS JAKARTA - CIKAMPEK,DELTA,Ultra Fast Charging,Beroperasi,2466.78,0,200000,2,300,Ada,Ada,Ada,Ada,Ada,Ada,59,80,150,350,45,4,15,4
01.POSO.00.3215.012,SPKLU REST AREA KM 62 B RUAS JAKARTA - CIKAMPEK,DELTA,Medium Charging,Beroperasi,2466.78,0,22000,1,32,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,450,2,12,2
01.POSO.00.3215.013,SPKLU REST AREA KM 62 B RUAS JAKARTA - CIKAMPEK,DELTA,Fast Charging,Beroperasi,2466.78,0,25000,1,40,Ada,Ada,Ada,Ada,Ada,Ada,68,23,43,43,45,2,15,2
01.POSO.00.3215.014,SPKLU REST AREA KM 62 B RUAS JAKARTA - CIKAMPEK,ABB,Fast Charging,Beroperasi,2466.78,0,50000,2,125,Ada,Ada,Ada,Ada,Ada,Ada,56.5,78,190,325,39,4,15,4
01.POSO.00.3214.003,SPKLU REST AREA KM 72 A RUAS CIKAMPEK - PADALARANG,DELTA,Medium Charging,Beroperasi,2466.78,0,22000,1,32,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,450,2,12,2
01.POSO.00.3214.004,SPKLU REST AREA KM 72 A RUAS CIKAMPEK - PADALARANG,DELTA,Fast Charging,Beroperasi,2466.78,0,25000,1,40,Ada,Ada,Ada,Ada,Ada,Ada,68,23,43,43,45,2,15,2
01.POSO.00.3214.005,SPKLU REST AREA KM 72 A RUAS CIKAMPEK - PADALARANG,DELTA,Fast Charging,Beroperasi,2466.78,0,25000,1,40,Ada,Ada,Ada,Ada,Ada,Ada,68,23,43,43,45,2,15,2
01.POSO.00.3214.006,SPKLU REST AREA KM 72 A RUAS CIKAMPEK - PADALARANG,DELTA,Fast Charging,Beroperasi,2466.78,0,50000,2,80,Ada,Ada,Ada,Ada,Ada,Ada,90,25,60,102,45,2,15,2
01.POSO.00.3214.007,SPKLU REST AREA KM 72 B RUAS CIKAMPEK - PADALARANG,DELTA,Fast Charging,Beroperasi,2466.78,0,25000,1,40,Ada,Ada,Ada,Ada,Ada,Ada,68,23,43,43,45,2,15,2
01.POSO.00.3571.002,SPKLU PLN UP3 KEDIRI,Autel MaxiCharger DC Compact,Fast Charging,Beroperasi,2466.78,0,47000,2,123.6842105,Ada,Ada,Ada,Ada,Ada,Ada,30,15,140,50,5,4,15,4
01.POSO.00.3577.001,SPKLU PLN UP3 MADIUN,Delta - AC Mini Plus,Slow Charging,Beroperasi,2466.78,0,7700,1,20.26315789,Ada,Ada,Ada,Ada,Ada,Ada,38,14,31.3,3.7,45,2,15,2
01.POSO.00.3577.002,SPKLU PLN UP3 MADIUN,Autel MaxiCharger DC Compact,Fast Charging,Beroperasi,2466.78,0,47000,2,123.6842105,Ada,Ada,Ada,Ada,Ada,Ada,30,15,140,50,5,4,15,4
01.POSO.00.3573.002,SPKLU PLN ULP KEBONAGUNG,Delta - AC Mini Plus,Slow Charging,Beroperasi,2466.78,0,7700,1,20.26315789,Ada,Ada,Ada,Ada,Ada,Ada,38,14,31.3,3.7,45,2,15,2
01.POSO.00.3579.001,SPKLU PLN ULP BATU,Delta - AC Mini Plus,Slow Charging,Beroperasi,2466.78,0,7700,1,20.26315789,Ada,Ada,Ada,Ada,Ada,Ada,38,14,31.3,3.7,45,2,15,2
01.POSO.00.3507.001,SPKLU PLN ULP SINGOSARI,Delta - AC Mini Plus,Slow Charging,Beroperasi,2466.78,0,7700,1,20.26315789,Ada,Ada,Ada,Ada,Ada,Ada,38,14,31.3,3.7,45,2,15,2
05.ROSO.00.3171.054,SPKLU Utomo Charge+ Thamrin Nine UOB Plaza Basement 3,Marvel 72 B3-25A B3-25,Medium Charging,Beroperasi,2466,0,23000,2,32,Ada,Ada,Ada,Ada,Ada,Ada,17,10,64,8.7,20,7,11,7
01.POSO.00.3514.018,SPKLU PLN ULP PANDAAN,Zerova 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3512.007,SPKLU PLN ULP BESUKI,Zerova 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3511.003,SPKLU PLN ULP WONOSARI,Zerova 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3510.004,SPKLU KALIBARU COTTAGES,Teison 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
,SPKLU Alamanda Tower,IOC Charger,Medium Charging,Beroperasi,2467,0,53,2,22,Type 2,Ada,Ada,IOT OCPP,Ada,Ada,25,45,100,25,5,3,4,4
,Radja Hotel,WEEYU/ INJET,Medium Charging,Beroperasi,2460,0,7700,1,32,AC,ADA,ADA,OCPP 1.6,Ada,Tidak Ada,50,35,27,10,20.5,5.05,5.8,5.8
,AVANI ECOPARK,WEEYU/ INJET,Medium Charging,Beroperasi,2460,0,7700,1,32,AC,ADA,ADA,OCPP 1.6,Ada,Tidak Ada,50,35,27,10,20.5,5.05,5.8,5.8
,Hotel New Saphir Yogyakarta,WEEYU/ INJET,Medium Charging,Beroperasi,2460,0,7700,1,32,AC,ADA,ADA,OCPP 1.6,Ada,Tidak Ada,50,35,27,10,20.5,5.05,5.8,5.8
,Brits Hotel Kuta Legian,WEEYU/ INJET,Medium Charging,Beroperasi,2460,0,7700,1,32,AC,ADA,ADA,OCPP 1.6,Ada,Tidak Ada,50,35,27,10,20.5,5.05,5.8,5.8
01.POSO.00.3510.005,SPKLU PLN ULP GENTENG,Teison 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
13.ROSO.00.3271.008,Area Sales Gallery Perumahan Rancamaya Golf Estate,CORNERSTONE TECHNOLOGIES,Medium Charging,Beroperasi,2475,0,11000,1,11,AC,-,-,-,Ada,Ada,35,35,187,10,500,5,5,5
01.POSO.00.3510.006,SPKLU PLN ULP ROGOJAMPI,Teison 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3525.014,SPKLU Icon Mall Gresik,Zerova 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3578.025,SPKLU PLN ULP TANDES,Zerova 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3520.007,SPKLU PLN ULP MAOSPATI,Zerova 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3519.011,SPKLU PLN ULP DOLOPO,Zerova 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3520.008,SPKLU PLN ULP MAGETAN,Zerova 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3578.026,SPKLU TRANSMART RUNGKUT,Zerova 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3517.004,SPKLU PLN ULP JOMBANG,CS DC Charger,Medium Charging,Beroperasi,2466.78,0,25000,1,65.78947368,Ada,Ada,Ada,Ada,Ada,Ada,68,23,43,43,45,2,15,2
06.ROSO.00.5171.046,Bendega Resto 7 kW,WEEYU/ INJET,Medium Charging,Beroperasi,2460,0,7700,1,32,AC,ADA,ADA,OCPP 1.6,Ada,Tidak Ada,50,35,27,10,20.5,5.05,5.8,5.8
06.ROSO.00.3171.073,Mangga Dua Court 22 kW,WEEYU/ INJET,Medium Charging,Beroperasi,2460,0,23000,1,32,AC,ADA,ADA,OCPP 1.6,Ada,Tidak Ada,50,35,27,15,20.5,5.05,5.8,5.8
01.POSO.00.1304.001,SPKLU PLN ULP BATUSANGKAR,Delta,Medium Charging,Beroperasi,2466.78,0,22000,1,40,Ada,Ada,Ada,Ada,Ada,Ada,40,32,150,5.4,400,17,18,17
01.POSO.00.1302.002,SPKLU PLN ZILA CAFE,Delta,Medium Charging,Beroperasi,2466.78,0,22000,1,40,Ada,Ada,Ada,Ada,Ada,Ada,40,32,150,5.4,400,17,18,17
01.POSO.00.1307.002,SPKLU PLN KP RIMBO DATA,Delta,Medium Charging,Beroperasi,2466.78,0,22000,1,40,Ada,Ada,Ada,Ada,Ada,Ada,40,32,150,5.4,400,17,18,17
01.POSO.00.1371.007,SPKLU PLN UP3 PADANG,Teison,Medium Charging,Beroperasi,2466.78,0,22000,1,32,Ada,Ada,Ada,Ada,Ada,Ada,40,32,150,5.4,400,17,18,17
01.POSO.00.1507.001,SPKLU PLN ULP MUARA SABAK,CS AC Charger,Medium Charging,Beroperasi,2466.78,0,22000,1,32,ada,ada,ada,ada,ada,ada,68,85,180,30,400,17,18,17
01.POSO.00.1504.001,SPKLU PLN ULP MUARA BULIAN,CS AC Charger,Medium Charging,Beroperasi,2466.78,0,22000,1,32,ada,ada,ada,ada,ada,ada,68,85,180,30,400,17,18,17
01.POSO.00.1571.004,SPKLU PLN ULP KOTABARU,CS AC Charger,Medium Charging,Beroperasi,2466.78,0,22000,1,32,ada,ada,ada,ada,ada,ada,68,85,180,30,400,17,18,17
01.POSO.00.1506.001,SPKLU PLN ULP KUALA TUNGKAL,CS AC Charger,Medium Charging,Beroperasi,2466.78,0,22000,1,32,ada,ada,ada,ada,ada,ada,68,85,180,30,400,17,18,17
01.POSO.00.1571.005,PLN UPDK JAMBI,CS AC Charger,Medium Charging,Beroperasi,2466.78,0,22000,1,32,ada,ada,ada,ada,ada,ada,68,85,180,30,400,17,18,17
01.POSO.00.1605.001,SPKLU PLN ULP MUARA BELITI,CS AC Charger,Medium Charging,Beroperasi,2466.78,0,22000,1,32,ada,ada,ada,ada,ada,ada,68,85,180,30,400,17,18,17
01.POSO.00.1471.010,SPKLU PLN ULP KOTA BARAT,Delta AC Max,Medium Charging,Beroperasi,2466.78,0,23000,1,32,Ada,Ada,Ada,Ada,Ada,Ada,22,17,37,4,24,7,6,6
01.POSO.00.1471.011,SPKLU PLN ULP PANAM,Delta AC Max,Medium Charging,Beroperasi,2466.78,0,23000,1,32,Ada,Ada,Ada,Ada,Ada,Ada,22,17,37,4,24,7,6,6
01.POSO.00.1402.004,SPKLU PLN ULP RENGAT KOTA,Delta AC Max,Medium Charging,Beroperasi,2466.78,0,23000,1,32,Ada,Ada,Ada,Ada,Ada,Ada,22,17,37,4,24,7,6,6
01.POSO.00.1471.012,SPKLU PLN ULP SIMPANG TIGA,Delta AC Max,Medium Charging,Beroperasi,2466.78,0,23000,1,32,Ada,Ada,Ada,Ada,Ada,Ada,22,17,37,4,24,7,6,6
01.POSO.00.1405.002,SPKLU PLN ULP PANGKALAN KERINCI,Delta AC Max,Medium Charging,Beroperasi,2466.78,0,23000,1,32,Ada,Ada,Ada,Ada,Ada,Ada,22,17,37,4,24,7,6,6
01.POSO.00.1671.011,SPKLU PLN S2JB Demang,Proteksindo DC EVDX-60,Ultra Fast Charging,Beroperasi,2466.78,0,60000,3,78,ada,ada,ada,ada,ada,ada,68,85,180,30,400,17,18,17
05.ROSO.00.3174.063,SPKLU Utomo Charge+ Pearl Garden Resort Apartment,Aurora 22,Medium Charging,Beroperasi,2466,0,23000,1,35,Ada,Ada,Ada,Ada,Ada,Ada,40.9,28.2,14.8,5.6,20,7,11,7
,Pop Hotel Diponegoro,WEEYU/ INJET,Medium Charging,Beroperasi,2460,0,7700,1,32,AC,ADA,ADA,OCPP 1.6,Ada,Tidak Ada,50,35,27,10,20.5,5.05,5.8,5.8
01.POSO.00.3517.005,SPKLU PLN ULP JOMBANG,Zerova 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
13.ROSO.00.3271.009,Area Sales Gallery Perumahan Rancamaya Golf Estate,CORNERSTONE TECHNOLOGIES,Medium Charging,Beroperasi,2500,0,11000,1,11,AC,-,-,-,Ada,Ada,35,35,187,10,500,5,5,5
01.POSO.00.3518.003,SPKLU PLN ULP NGANJUK,Zerova 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3518.004,SPKLU PLN ULP NGANJUK,Teison 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3578.027,SPKLU PLN ULP RUNGKUT 1,Zerova 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3510.007,SPKLU PLN UP3 BANYUWANGI,CS AC Charger,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3578.028,SPKLU PLN SURABAYA SELATAN,CS DC Charger,Ultra Fast Charging,Beroperasi,2466.78,0,100000,2,526.3157895,Ada,Ada,Ada,Ada,Ada,Ada,59,80,150,350,45,4,15,4
01.POSO.00.3578.029,SPKLU PLN SURABAYA SELATAN,Zerova 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
06.ROSO.00.3171.074,Mangga Dua Court 7 kW,WEEYU/ INJET,Medium Charging,Beroperasi,2460,0,7700,1,32,AC,ADA,ADA,OCPP 1.6,Ada,Tidak Ada,50,35,27,10,20.5,5.05,5.8,5.8
01.POSO.00.1223.001,SPKLU PLN ULP RANTAUPRAPAT KOTA,Proteksindo DC EVDX-60,Ultra Fast Charging,Beroperasi,2466.78,0,66000,3,100,ADA,ADA,ADA,ADA,ADA,Ada,750,920,188,550,400,15,15,5
01.POSO.00.1212.001,SPKLU PLN ULP BALIGE,Proteksindo DC EVDX-60,Ultra Fast Charging,Beroperasi,2466.78,0,66000,3,100,ADA,ADA,ADA,ADA,ADA,Ada,750,920,188,550,400,15,15,5
06.ROSO.00.3273.041,Courtyard by Marriott Bandung Dago,WEEYU/ INJET,Medium Charging,Beroperasi,2460,0,7700,1,32,AC,ADA,ADA,OCPP 1.6,Ada,Tidak Ada,50,35,27,10,20.5,5.05,5.8,7
05.ROSO.00.3171.055,SPKLU Utomo Charge+ Thamrin Nine UOB Plaza Basement 3,Aurora 11 B3-187,Medium Charging,Beroperasi,2466,0,13200,1,20,Ada,Ada,Ada,Ada,Ada,Ada,40.9,28.2,14.8,5.6,20,7,11,7
01.POSO.00.3578.030,SPKLU TRANSMART DUKUH KUPANG,Zerova 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3514.019,SPKLU PLN ULP SUKOREJO,Zerova 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
13.ROSO.00.3271.010,Area Sales Gallery Perumahan Rancamaya Golf Estate,CORNERSTONE TECHNOLOGIES,Fast Charging,Beroperasi,2475,0,40000,2,40,DC,-,-,-,Ada,Ada,50,1000,185,145,500,5,5,5
01.POSO.00.3514.020,SPKLU PLN ULP GRATI,Zerova 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3525.015,SPKLU PLN ULP BENJENG,Teison 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3502.003,SPKLU PLN ULP PONOROGO,Teison 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3503.001,SPKLU PLN ULP TRENGGALEK,Zerova 22 KW,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3573.010,SPKLU RS PANTI WALOEJO,Chargecore AC-22,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3573.011,SPKLU RS PANTI WALOEJO,Chargecore AC-22,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
01.POSO.00.3507.005,SPKLU RS WAVA HUSADA,1. Chargecore AC-22,Medium Charging,Beroperasi,2466.78,0,22000,1,57.89473684,Ada,Ada,Ada,Ada,Ada,Ada,21.8,16.7,37.1,3.8,45,2,12,2
